species;foodstoring;sex_diff_imm;min_temp;body_mass_end_mating;precipitation;body_mass_imm;maternal_effort;litter_per_year;littersize;weaning_mass;masse_femelle;dimorphisme_imm;spe_repro_effort;log_spe_repro_effort
Callospermophilus_saturatus;Yes;3;-7,300000191;-13,13028633;863;273;70;1;2,7;76;185,35075;0,974729242;110,7090206;2,044183009
Cricetus_cricetus;Yes;27;-2,700000048;3,212717336;595;344;43;1,7;4,3;105;245;1,446099291;313,2857143;2,495940592
Cynomys_leucurus;No ;11;-11,5;-17,77188329;337;1288,79563;67;1;5,64;198,5;491,71606;1,557696068;227,6801779;2,357325222
Erinaceus_europaeus;No ;15,70833333;-5,299999952;-10,12263412;803,5;1152;72;1;5;235;606;1,161350844;193,8943894;2,287565242
Glis_glis;No ;14;-2,5;-2,593658911;758;122,26;58;1;4,9;39,2;99,32;1,219178141;193,3950866;2,286445436
Ictidomys_parvidens;No ;15;-2,400000095;24,47916667;347;282,5;68;1;6,4;43,8;187;1,242063492;149,9037433;2,175812478
Marmota_monax;No ;-2;-11,5;-6,249997455;1156;3798,7;76,05;1;3,5;490;2610;1,089285706;65,70881226;1,817623617
Microcebus_murinus;No ;0;14,60000038;-13,57063605;922;74,5;98;1;2;36,6;60,19;0,712643678;121,6148862;2,084986738
Poliocitellus_franklinii;No ;15,75;-21,10000038;-4,528622381;517;577,88;58;1;6,75;101,33;322,9547;1,263698045;211,7874426;2,325900206
Spermophilus_citellus;No ;-21,25;-2,5;-13,39279323;556;352,47;64,5;1;3,9;51,5;188;1,317359512;106,8351064;2,028713987
Tachyglossus_aculeatus;No ;24;3,599999905;-6,656395464;625;4180;167,5;1;1;1650;3806;1,138107417;43,35260116;1,63701516
Urocitellus_armatus;No ;-8,666666667;-13;2,283052616;402;521,83;45;1;6;60,3;262,6666667;1,329613095;137,7411167;2,1390636
Urocitellus_beldingi;No ;20;-12,39999962;-4,59322395;568;381,8;51,53;1;6,31;69;217;1,213975065;200,640553;2,302418716
Urocitellus_columbianus;No ;11,76666667;-16,10000038;8,494208494;693;579;53,2;1;3,6;112,6;380;1,325301205;106,6736842;2,028057295
Urocitellus_elegans;No ;-9;-16,60000038;-3,8;281;363,68;55,58;1;5,88;80,5;203;1,259;233,1724138;2,367677169
Urocitellus_mollis;No ;-3,66;-5,4;-3,467335767;248;227,83;58;1;8,1;32,8;122,5;1,38;216,8816327;2,336222774
Urocitellus_parryii;Yes;-28;-30,2;-21,23999594;237;1034,74;53;1;5,8;234,5;615;1,055555592;221,1544715;2,344695725
Urocitellus_richardsonii;Yes;12,16;-14,42;-4,483569219;370;524,52;51,79;1;7,1;83,75;229;1,30806727;259,6615721;2,414407682
Zapus_hudsonius;No ;14;-8,5;-9,547625795;837;22,78;47;1;5,5;7,8;16,7;0,924770171;256,8862275;2,409740821
Urocitellus_brunneus;No ;-2;-11;-6,569342857;610;269,5;66,5;1;6,2;36,55;121,35;1,35371179;186,7408323;2,27123929
Zapus_princeps;No ;0;-14,1;-7,9;570;35,24;48;1;5,4;12,9;23,46;1;296,9309463;2,472655462
